name,label,concept,predicateType,group,limit,hasGeoCollectionSupport,required,attributes
PL004068,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004063,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004062,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004065,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004064,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PLACE,Place (FIPS),,,N/A,0,,,
PL004061,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004060,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL002013,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Black or African American,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001044,Total!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Some other race,RACE [71],int,PL001,0,,,
PL002014,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001043,Total!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL002015,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Asian,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001042,Total!!Population of two or more races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL002016,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001041,Total!!Population of two or more races!!Population of three races!!Black or African American; Asian; Some other race,RACE [71],int,PL001,0,,,
PL001048,Total!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian,RACE [71],int,PL001,0,,,
PL002010,Total!!Not Hispanic or Latino!!Population of one race!!Some other race alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001047,Total!!Population of two or more races!!Population of four races,RACE [71],int,PL001,0,,,
PL001046,Total!!Population of two or more races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL002011,Total!!Not Hispanic or Latino!!Population of two or more races,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
SLDL,State Legislative District (Lower Chamber),,,N/A,0,,,
PL002012,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001045,Total!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
SLDU,State Legislative District (Upper Chamber),,,N/A,0,,,
PL001040,Total!!Population of two or more races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001039,Total!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some other race,RACE [71],int,PL001,0,,,
PL001038,Total!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL002006,Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002007,Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002008,Total!!Not Hispanic or Latino!!Population of one race!!Asian alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002009,Total!!Not Hispanic or Latino!!Population of one race!!Native Hawaiian and Other Pacific Islander alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002024,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001055,Total!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some other race,RACE [71],int,PL001,0,,,
PL002025,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001054,Total!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001053,Total!!Population of two or more races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL002026,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001052,Total!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Some other race,RACE [71],int,PL001,0,,,
PL002027,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002020,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001059,Total!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some other race,RACE [71],int,PL001,0,,,
PL002021,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001058,Total!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL002022,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Asian,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001057,Total!!Population of two or more races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL001056,Total!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL002023,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001051,Total!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001050,Total!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some other race,RACE [71],int,PL001,0,,,
PL001049,Total!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL002017,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002018,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002019,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Asian,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001022,Total!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Some other race,RACE [71],int,PL001,0,,,
PL001021,Total!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001020,Total!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Asian,RACE [71],int,PL001,0,,,
COUSUB,County Subdivision (FIPS),,,N/A,0,,,
PL001026,Total!!Population of two or more races!!Population of three races,RACE [71],int,PL001,0,,,
PL001025,Total!!Population of two or more races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL001024,Total!!Population of two or more races!!Population of two races!!Asian; Some other race,RACE [71],int,PL001,0,,,
PL001023,Total!!Population of two or more races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
STATE,State (FIPS),,,N/A,0,,,
PL001019,Total!!Population of two or more races!!Population of two races!!Black or African American; Some other race,RACE [71],int,PL001,0,,,
PL001018,Total!!Population of two or more races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001017,Total!!Population of two or more races!!Population of two races!!Black or African American; Asian,RACE [71],int,PL001,0,,,
PL001016,Total!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native,RACE [71],int,PL001,0,,,
CONCIT,Consolidated City,,,N/A,0,,,
PL002002,Total!!Hispanic or Latino,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001033,Total!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Some other race,RACE [71],int,PL001,0,,,
PL001032,Total!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL002003,Total!!Not Hispanic or Latino,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002004,Total!!Not Hispanic or Latino!!Population of one race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001031,Total!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Asian,RACE [71],int,PL001,0,,,
PL002005,Total!!Not Hispanic or Latino!!Population of one race!!White alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001030,Total!!Population of two or more races!!Population of three races!!White; Black or African American; Some other race,RACE [71],int,PL001,0,,,
PL001037,Total!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian,RACE [71],int,PL001,0,,,
