FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,IL,050,00,00,000,0000012,0500000US17021,17021,2,3,17,01779784,021,H1,00424212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45380,2,522,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837569687,16227346,Christian,Christian County,A,,34032,15184,+39.5455242,-089.2795927,06,,,34032,32857,31437,390,62,179,3,786,1175,1118,184,487,66,4,352,0,5,0,8,0,0,1,9,2,0,49,20,0,0,10,0,0,9,2,5,0,3,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34032,1094,32938,31905,31226,380,59,179,1,60,1033,1018,170,477,66,2,279,0,5,0,8,0,0,0,9,2,0,11,6,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218,26479,25220,330,56,144,3,726,739,721,63,372,35,0,236,0,5,0,0,0,0,1,9,0,0,16,8,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218,925,26293,25622,25069,322,53,144,1,33,671,666,61,365,35,0,191,0,5,0,0,0,0,0,9,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15184,13721,1463,2933,2890,2596,15,279,0,43,0,0,43
PLST,IL,050,00,00,000,0000013,0500000US17023,17023,2,3,17,01779784,023,H1,00424213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298554904,8771353,Clark,Clark County,A,,15455,7327,+39.3323343,-087.7916832,06,,,15455,15025,14784,54,28,60,0,99,430,412,51,187,33,5,113,12,0,0,0,2,0,0,4,1,4,12,3,0,0,2,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15455,246,15209,14844,14680,54,28,52,0,30,365,348,51,187,29,5,65,8,0,0,0,0,0,0,2,1,0,11,3,0,0,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11993,11711,11524,40,28,47,0,72,282,273,13,147,20,5,78,0,0,0,0,2,0,0,4,0,4,8,3,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11993,155,11838,11600,11476,40,28,42,0,14,238,230,13,147,16,5,47,0,0,0,0,0,0,0,2,0,0,7,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7327,6506,821,225,225,101,0,124,0,0,0,0,0
PLST,IL,050,00,00,000,0000014,0500000US17025,17025,2,3,17,01779784,025,H1,00424214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213022841,3064720,Clay,Clay County,A,,13288,6145,+38.7468187,-088.4823254,06,,,13288,12781,12524,38,40,79,3,97,507,468,50,207,19,3,185,0,0,0,3,0,0,0,0,1,0,35,13,5,0,4,4,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,13288,223,13065,12639,12481,30,33,77,0,18,426,399,48,206,18,3,123,0,0,0,0,0,0,0,0,1,0,25,13,5,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10245,9908,9715,25,34,63,3,68,337,314,16,168,9,3,118,0,0,0,0,0,0,0,0,0,0,20,11,0,0,3,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10245,131,10114,9816,9692,20,27,61,0,16,298,278,14,167,8,3,86,0,0,0,0,0,0,0,0,0,0,18,11,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6145,5506,639,290,147,8,0,139,0,143,15,0,128
PLST,IL,050,00,00,000,0000015,0500000US17027,17027,2,3,17,01779784,027,H1,00424215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41180,1,476,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227502166,75634262,Clinton,Clinton County,A,,36899,15574,+38.6062953,-089.4262278,06,,,36899,35317,33085,1151,106,180,5,790,1582,1538,225,513,147,5,592,7,1,6,19,2,0,1,9,11,0,37,2,5,0,9,8,0,8,2,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36899,1387,35512,34338,32845,1140,80,175,5,93,1174,1134,220,506,143,5,222,7,1,6,8,0,0,1,9,6,0,33,2,5,0,8,7,0,7,1,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28856,27812,26002,1035,76,149,2,548,1044,1024,75,362,78,5,460,4,1,1,16,2,0,1,9,10,0,13,0,0,0,3,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28856,958,27898,27154,25853,1026,61,147,2,65,744,726,75,356,74,5,189,4,1,1,5,0,0,1,9,6,0,11,0,0,0,3,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15574,14258,1316,1734,1546,1294,0,252,0,188,0,0,188
PLST,IL,050,00,00,000,0000016,0500000US17029,17029,2,3,17,01779784,029,H1,00424216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16660,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316418028,4650074,Coles,Coles County,A,,46863,22739,+39.5136797,-088.2207820,06,,,46863,44597,40838,2083,114,623,26,913,2266,2126,475,685,192,8,684,37,2,1,18,0,0,0,13,3,8,120,53,0,2,20,8,7,20,8,0,0,0,0,0,0,0,0,0,0,0,2,16,6,0,4,0,4,0,0,0,0,0,0,1,0,0,1,4,1,3,0,0,0,0,0,0,46863,1768,45095,43329,40352,2043,82,617,24,211,1766,1669,459,655,191,8,288,36,2,1,15,0,0,0,13,1,0,86,52,0,2,10,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37724,36325,33185,1666,94,547,26,807,1399,1332,154,534,108,8,470,28,2,1,13,0,0,0,10,0,4,62,30,0,2,9,3,0,15,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37724,1325,36399,35300,32859,1633,64,541,24,179,1099,1058,153,516,107,8,223,28,2,1,10,0,0,0,10,0,0,36,30,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22739,19861,2878,2690,824,195,20,609,0,1866,1485,0,381
PLST,IL,050,00,00,000,0000017,0500000US17031,17031,2,3,17,01779784,031,H1,01784766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16980,1,176,16984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447350649,1786331385,Cook,Cook County,A,,5275541,2264966,+41.8942937,-087.6454546,06,,,5275541,4728989,2345983,1205824,56894,413271,1864,705153,546552,516829,35514,22138,42284,870,369835,7392,3638,356,14383,856,97,14214,1189,3033,1030,26073,4882,1234,111,4114,667,54,11115,570,1922,125,221,53,585,97,158,36,3,61,17,48,3223,505,74,2131,28,175,6,29,177,0,54,12,9,3,13,7,391,190,171,27,2,0,1,36,36,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,127454,31359,14810,40045,736,22440,6430,3383,315,5087,650,32,183,1081,821,82,7650,3460,1067,101,909,481,35,134,504,324,20,186,53,178,75,82,10,0,13,1,17,814,358,54,269,21,44,3,21,9,0,11,12,3,0,9,0,146,94,45,7,0,0,0,10,10,4172402,3788914,1958920,936911,41723,338279,1459,511622,383488,363698,20749,16953,22108,639,270582,5711,2131,266,9899,604,85,10536,970,1663,802,17313,3481,600,74,2277,378,37,8339,385,804,75,148,42,416,56,89,27,1,41,14,29,2171,287,63,1516,20,95,3,18,100,0,35,6,5,3,13,7,280,135,122,20,2,0,1,26,26,4172402,986886,3185516,3096151,1814611,925463,4524,335572,822,15159,89365,83502,18940,12146,21198,543,17147,5128,1992,239,4029,481,31,121,900,547,60,5186,2584,520,68,596,285,31,106,347,190,13,131,42,144,37,54,10,0,13,1,14,533,212,45,181,15,29,1,16,9,0,7,6,3,0,9,0,135,83,45,7,0,0,0,9,9,2264966,2086940,178026,80359,39552,5964,634,31515,1439,40807,26262,0,14545
PLST,IL,050,00,00,000,0000018,0500000US17033,17033,2,3,17,01779784,033,H1,00424218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149031261,5744821,Crawford,Crawford County,A,,18679,8471,+39.0027865,-087.7606193,06,,,18679,18050,17032,621,44,85,2,266,629,596,113,271,72,0,121,0,3,8,0,3,0,0,3,2,0,25,3,0,2,3,3,0,7,1,2,0,0,0,2,0,0,0,0,0,2,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18679,447,18232,17692,16941,608,36,76,2,29,540,523,112,250,72,0,82,0,0,4,0,0,0,0,3,0,0,17,3,0,2,0,3,0,4,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14891,14489,13554,575,39,74,2,245,402,385,48,186,35,0,101,0,3,8,0,0,0,0,3,1,0,13,0,0,0,3,3,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14891,347,14544,14196,13510,562,31,65,2,26,348,338,47,176,35,0,73,0,0,4,0,0,0,0,3,0,0,10,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8471,7471,1000,1325,1243,1069,48,126,0,82,0,0,82
PLST,IL,050,00,00,000,0000019,0500000US17035,17035,2,3,17,01779784,035,H1,00424219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16660,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895989975,2538006,Cumberland,Cumberland County,A,,10450,4728,+39.2731210,-088.2406193,06,,,10450,10092,9984,28,22,23,5,30,358,331,44,184,3,3,84,3,0,0,7,1,0,0,2,0,0,24,1,4,0,0,0,0,12,2,0,3,0,0,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10450,112,10338,10026,9947,28,13,21,0,17,312,300,44,175,3,3,64,3,0,0,7,1,0,0,0,0,0,11,1,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8062,7828,7752,17,12,21,0,26,234,211,17,120,2,0,66,3,0,0,0,1,0,0,2,0,0,20,0,4,0,0,0,0,12,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8062,79,7983,7783,7728,17,3,19,0,16,200,189,17,114,2,0,52,3,0,0,0,1,0,0,0,0,0,10,0,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4728,4276,452,98,98,10,0,88,0,0,0,0,0
PLST,IL,050,00,00,000,0000020,0500000US17037,17037,2,3,17,01779784,037,H1,00422190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16980,1,176,20994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635154200,8561739,DeKalb,DeKalb County,A,,100420,41311,+41.8946125,-088.7689910,06,,,100420,91702,74258,8954,553,2299,29,5609,8718,8263,1116,1424,664,30,4703,68,26,10,110,7,0,73,9,17,6,417,102,38,0,72,17,3,132,19,18,1,6,7,1,0,1,0,0,0,0,0,38,17,0,12,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,100420,13597,86823,82705,71249,8730,119,2280,29,298,4118,3926,994,1247,635,30,836,68,26,10,53,6,0,0,9,12,0,174,83,30,0,14,9,2,0,14,7,1,6,7,0,0,1,0,0,0,0,0,18,9,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,77882,72389,59817,6211,399,1995,15,3952,5493,5265,489,1035,361,14,3153,47,17,2,56,6,0,61,6,13,5,200,50,14,0,15,9,1,75,14,6,1,6,7,1,0,1,0,0,0,0,0,28,13,0,6,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,77882,8950,68932,66395,57975,6113,98,1977,15,217,2537,2436,443,927,344,14,587,47,17,2,35,6,0,0,6,8,0,93,41,13,0,3,5,0,0,14,2,1,6,7,0,0,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41311,38487,2824,4777,778,0,0,778,0,3999,3828,0,171
PLST,IL,050,00,00,000,0000021,0500000US17039,17039,2,3,17,01779784,039,H1,00426598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029678323,19492326,De Witt,De Witt County,A,,15516,7309,+40.1814993,-088.9018526,06,,,15516,14941,14526,110,28,40,18,219,575,550,82,194,57,14,187,0,0,2,4,0,0,4,6,0,0,15,3,0,2,2,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,2,15516,510,15006,14569,14370,108,19,40,16,16,437,419,82,194,50,14,67,0,0,2,4,0,0,0,6,0,0,13,3,0,2,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,2,12184,11819,11543,65,22,32,7,150,365,351,24,153,28,6,124,0,0,2,4,0,0,4,6,0,0,9,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12184,302,11882,11591,11459,65,16,32,7,12,291,280,24,153,26,6,59,0,0,2,4,0,0,0,6,0,0,9,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7309,6620,689,182,155,19,0,136,0,27,0,0,27
PLST,IL,050,00,00,000,0000022,0500000US17041,17041,2,3,17,01779784,041,H1,00424222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079110222,1448702,Douglas,Douglas County,A,,19740,8469,+39.7660780,-088.2228656,06,,,19740,18871,17855,67,60,105,7,777,869,839,103,271,29,0,416,9,1,0,2,0,0,0,5,0,3,18,6,4,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19740,1565,18175,17658,17420,67,28,103,6,34,517,492,103,265,29,0,85,2,1,0,2,0,0,0,5,0,0,13,6,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14852,14301,13564,43,51,81,7,555,551,539,42,196,16,0,277,2,0,0,0,0,0,0,5,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14852,1025,13827,13487,13307,43,28,81,6,22,340,328,42,196,16,0,67,2,0,0,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8469,7749,720,239,211,18,0,193,0,28,0,0,28
PLST,IL,050,00,00,000,0000023,0500000US17043,17043,2,3,17,01779784,043,H1,00422191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16980,1,176,16984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848995066,22247645,DuPage,DuPage County,A,,932877,364970,+41.8520577,-088.0860389,06,,,932877,850219,616830,45516,5154,119672,315,62732,82658,79060,5339,5777,10336,221,53234,407,468,23,926,214,5,1183,287,578,62,3300,557,177,4,440,214,19,1203,177,417,21,8,0,35,0,12,8,3,1,1,3,275,38,8,150,9,2,0,9,32,0,20,7,0,0,0,0,23,15,7,0,1,0,0,0,0,932877,144291,788586,759015,591441,44201,873,118982,219,3299,29571,28356,4826,4888,9923,206,6668,337,455,22,277,193,0,7,266,281,7,1110,416,146,4,90,183,13,24,162,43,2,7,0,9,0,1,6,0,0,1,3,95,37,5,24,6,0,0,6,0,0,15,2,0,0,0,0,10,9,0,0,1,0,0,0,0,724333,672338,498909,33634,3601,91512,235,44447,51995,49987,2409,4323,4201,155,36202,310,222,10,558,162,5,858,232,300,40,1803,333,53,4,159,100,12,828,87,150,11,8,0,31,0,11,8,3,1,1,3,182,30,6,105,3,2,0,7,11,0,15,3,0,0,0,0,23,15,7,0,1,0,0,0,0,724333,97664,626669,609933,482728,32988,632,91138,166,2281,16736,16065,2248,3783,4081,147,4570,263,211,9,208,149,0,7,215,172,2,595,259,51,4,53,79,6,17,82,18,0,7,0,9,0,0,6,0,0,1,3,66,30,5,17,0,0,0,4,0,0,10,0,0,0,0,0,10,9,0,0,1,0,0,0,0,364970,348216,16754,13818,7023,693,60,6270,0,6795,5093,0,1702
PLST,IL,050,00,00,000,0000024,0500000US17045,17045,2,3,17,01779784,045,H1,00424224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614400676,1565052,Edgar,Edgar County,A,,16866,8236,+39.6790370,-087.7471102,06,,,16866,16346,16070,83,34,55,0,104,520,499,40,234,25,6,176,0,0,0,10,2,2,3,1,0,0,21,6,0,1,1,5,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16866,225,16641,16188,16005,82,17,51,0,33,453,437,39,231,25,6,123,0,0,0,10,0,2,0,1,0,0,16,6,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13394,13019,12806,62,27,42,0,82,375,369,19,188,18,0,131,0,0,0,5,2,2,3,1,0,0,6,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13394,145,13249,12918,12777,62,17,38,0,24,331,328,19,188,18,0,95,0,0,0,5,0,2,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8236,7246,990,352,321,18,0,299,4,31,0,0,31
PLST,IL,050,00,00,000,0000025,0500000US17047,17047,2,3,17,01779784,047,H1,00424225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576012470,781202,Edwards,Edwards County,A,,6245,3041,+38.4170954,-088.0479408,06,,,6245,6099,6019,22,8,21,9,20,146,140,36,42,20,0,34,0,0,3,1,0,0,0,0,4,0,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6245,63,6182,6054,5994,16,8,21,4,11,128,128,35,40,17,0,29,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4814,4722,4661,14,8,21,9,9,92,89,9,42,1,0,31,0,0,3,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4814,42,4772,4691,4648,10,8,21,4,0,81,81,8,40,1,0,26,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3041,2694,347,22,22,0,0,22,0,0,0,0,0
