state,county,tract,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
17,043,844002,140,1400000US17043844002,00,Census Tract 8440.02,17,043,,844002,,,,,,,,4268,4208,4102,14,6,70,0,16,60,58,1,1,0,0,4268,140,4128,4074,3988,14,2,70,0,0,54,54,0,0,0,0,2913,2899,2825,12,3,50,0,9,14,13,1,0,0,0,2913,84,2829,2817,2753,12,2,50,0,0,12,12,0,0,0,0,1447,1405,42
17,043,844100,140,1400000US17043844100,00,Census Tract 8441,17,043,,844100,,,,,,,,3979,3921,3767,30,0,71,1,52,58,57,1,0,0,0,3979,167,3812,3764,3654,28,0,71,1,10,48,47,1,0,0,0,2784,2769,2668,20,0,54,1,26,15,14,1,0,0,0,2784,88,2696,2682,2602,20,0,54,1,5,14,13,1,0,0,0,1389,1345,44
17,043,844201,140,1400000US17043844201,00,Census Tract 8442.01,17,043,,844201,,,,,,,,5838,5708,4837,208,2,487,0,174,130,126,4,0,0,0,5838,538,5300,5194,4480,203,2,486,0,23,106,103,3,0,0,0,4436,4374,3787,134,2,338,0,113,62,59,3,0,0,0,4436,343,4093,4041,3559,131,2,337,0,12,52,50,2,0,0,0,2202,2099,103
17,043,844202,140,1400000US17043844202,00,Census Tract 8442.02,17,043,,844202,,,,,,,,2649,2615,2325,49,1,215,0,25,34,32,0,0,2,0,2649,99,2550,2523,2257,49,1,215,0,1,27,25,0,0,2,0,1995,1980,1798,27,1,138,0,16,15,13,0,0,2,0,1995,65,1930,1920,1754,27,1,138,0,0,10,8,0,0,2,0,946,925,21
17,043,844301,140,1400000US17043844301,00,Census Tract 8443.01,17,043,,844301,,,,,,,,6284,6149,4552,440,2,1066,1,88,135,125,9,1,0,0,6284,397,5887,5778,4269,437,1,1065,1,5,109,104,4,1,0,0,5265,5184,3941,353,2,823,1,64,81,76,4,1,0,0,5265,266,4999,4930,3756,350,1,822,1,0,69,64,4,1,0,0,3372,3067,305
17,043,844304,140,1400000US17043844304,00,Census Tract 8443.04,17,043,,844304,,,,,,,,3812,3723,2392,262,5,926,0,138,89,86,2,1,0,0,3812,303,3509,3434,2247,250,4,924,0,9,75,72,2,1,0,0,3112,3063,2055,212,2,703,0,91,49,46,2,1,0,0,3112,219,2893,2852,1939,202,2,702,0,7,41,38,2,1,0,0,1796,1653,143
17,043,844305,140,1400000US17043844305,00,Census Tract 8443.05,17,043,,844305,,,,,,,,3871,3778,2870,347,7,432,4,118,93,87,5,1,0,0,3871,358,3513,3435,2657,333,5,429,4,7,78,73,4,1,0,0,3338,3278,2591,256,7,331,4,89,60,57,3,0,0,0,3338,260,3078,3026,2436,247,5,329,4,5,52,49,3,0,0,0,2169,1924,245
17,043,844306,140,1400000US17043844306,00,Census Tract 8443.06,17,043,,844306,,,,,,,,5350,5209,2864,683,25,1077,4,556,141,132,7,2,0,0,5350,1307,4043,3956,2184,676,16,1069,4,7,87,82,5,0,0,0,4123,4038,2411,474,12,767,4,370,85,83,2,0,0,0,4123,867,3256,3206,1962,471,3,762,4,4,50,49,1,0,0,0,2537,2275,262
17,043,844307,140,1400000US17043844307,00,Census Tract 8443.07,17,043,,844307,,,,,,,,3386,3290,2157,230,6,726,0,171,96,92,4,0,0,0,3386,462,2924,2859,1905,226,6,721,0,1,65,62,3,0,0,0,2635,2586,1793,178,2,496,0,117,49,45,4,0,0,0,2635,300,2335,2299,1628,174,2,494,0,1,36,33,3,0,0,0,1540,1414,126
17,043,844401,140,1400000US17043844401,00,Census Tract 8444.01,17,043,,844401,,,,,,,,3442,3407,3017,67,0,308,2,13,35,32,3,0,0,0,3442,117,3325,3293,2917,66,0,308,2,0,32,30,2,0,0,0,2743,2723,2403,59,0,251,2,8,20,19,1,0,0,0,2743,76,2667,2649,2338,58,0,251,2,0,18,17,1,0,0,0,1453,1365,88
17,043,844402,140,1400000US17043844402,00,Census Tract 8444.02,17,043,,844402,,,,,,,,4711,4621,3214,279,9,990,1,128,90,88,2,0,0,0,4711,317,4394,4316,3045,277,3,988,1,2,78,76,2,0,0,0,3966,3903,2772,198,6,836,1,90,63,61,2,0,0,0,3966,229,3737,3681,2643,198,2,835,1,2,56,54,2,0,0,0,2003,1877,126
17,043,844501,140,1400000US17043844501,00,Census Tract 8445.01,17,043,,844501,,,,,,,,2999,2958,2617,81,3,191,0,66,41,41,0,0,0,0,2999,215,2784,2747,2475,76,3,191,0,2,37,37,0,0,0,0,2458,2438,2180,57,1,151,0,49,20,20,0,0,0,0,2458,156,2302,2283,2078,53,1,151,0,0,19,19,0,0,0,0,1135,1059,76
17,043,844502,140,1400000US17043844502,00,Census Tract 8445.02,17,043,,844502,,,,,,,,3153,3114,2331,57,1,702,0,23,39,39,0,0,0,0,3153,117,3036,3002,2242,56,1,702,0,1,34,34,0,0,0,0,2702,2679,2033,54,1,576,0,15,23,23,0,0,0,0,2702,96,2606,2585,1954,53,1,576,0,1,21,21,0,0,0,0,1756,1572,184
17,043,844601,140,1400000US17043844601,00,Census Tract 8446.01,17,043,,844601,,,,,,,,3764,3691,3237,80,2,360,0,12,73,69,4,0,0,0,3764,126,3638,3567,3128,80,1,357,0,1,71,67,4,0,0,0,3274,3229,2877,64,2,278,0,8,45,43,2,0,0,0,3274,85,3189,3146,2804,64,1,276,0,1,43,41,2,0,0,0,2119,1841,278
17,043,844602,140,1400000US17043844602,00,Census Tract 8446.02,17,043,,844602,,,,,,,,4499,4402,3623,217,3,520,0,39,97,93,4,0,0,0,4499,259,4240,4159,3426,215,2,512,0,4,81,77,4,0,0,0,3641,3592,3007,158,2,399,0,26,49,46,3,0,0,0,3641,187,3454,3412,2856,156,2,396,0,2,42,39,3,0,0,0,2090,1962,128
17,043,844701,140,1400000US17043844701,00,Census Tract 8447.01,17,043,,844701,,,,,,,,4253,4175,3692,92,4,254,0,133,78,77,1,0,0,0,4253,416,3837,3783,3434,88,3,254,0,4,54,53,1,0,0,0,3307,3269,2908,62,4,212,0,83,38,38,0,0,0,0,3307,277,3030,3004,2728,61,3,212,0,0,26,26,0,0,0,0,1706,1617,89
17,043,844702,140,1400000US17043844702,00,Census Tract 8447.02,17,043,,844702,,,,,,,,5609,5529,4956,48,1,488,4,32,80,79,1,0,0,0,5609,205,5404,5326,4779,48,1,487,4,7,78,77,1,0,0,0,3945,3901,3470,36,0,375,3,17,44,43,1,0,0,0,3945,111,3834,3790,3375,36,0,374,3,2,44,43,1,0,0,0,2009,1886,123
17,043,844801,140,1400000US17043844801,00,Census Tract 8448.01,17,043,,844801,,,,,,,,4203,4137,3928,56,3,107,0,43,66,60,6,0,0,0,4203,228,3975,3916,3750,56,1,107,0,2,59,53,6,0,0,0,3071,3048,2899,38,3,81,0,27,23,19,4,0,0,0,3071,136,2935,2916,2794,38,1,81,0,2,19,15,4,0,0,0,1600,1518,82
17,043,844802,140,1400000US17043844802,00,Census Tract 8448.02,17,043,,844802,,,,,,,,3218,3181,3006,50,4,94,0,27,37,37,0,0,0,0,3218,157,3061,3031,2887,47,3,94,0,0,30,30,0,0,0,0,2475,2459,2324,33,3,76,0,23,16,16,0,0,0,0,2475,105,2370,2358,2247,32,3,76,0,0,12,12,0,0,0,0,1497,1395,102
17,043,844901,140,1400000US17043844901,00,Census Tract 8449.01,17,043,,844901,,,,,,,,3253,3189,2947,64,3,122,0,53,64,64,0,0,0,0,3253,157,3096,3042,2852,63,1,120,0,6,54,54,0,0,0,0,2414,2384,2204,41,2,95,0,42,30,30,0,0,0,0,2414,110,2304,2278,2140,40,1,94,0,3,26,26,0,0,0,0,1539,1369,170
17,043,844902,140,1400000US17043844902,00,Census Tract 8449.02,17,043,,844902,,,,,,,,4133,4084,3901,52,5,104,0,22,49,46,3,0,0,0,4133,90,4043,4001,3838,51,1,104,0,7,42,39,3,0,0,0,3062,3041,2901,40,5,77,0,18,21,20,1,0,0,0,3062,67,2995,2976,2853,39,1,77,0,6,19,18,1,0,0,0,1744,1624,120
17,043,845000,140,1400000US17043845000,00,Census Tract 8450,17,043,,845000,,,,,,,,5254,5141,4729,128,22,159,0,103,113,104,9,0,0,0,5254,450,4804,4730,4434,126,9,155,0,6,74,69,5,0,0,0,3934,3883,3581,88,15,129,0,70,51,49,2,0,0,0,3934,287,3647,3616,3393,87,6,127,0,3,31,30,1,0,0,0,2209,2050,159
