state,county,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
01,077,050,0500000US01077,00,Lauderdale County,01,077,,,,,,,,,,92709,91403,80112,9257,338,685,34,977,1306,1265,35,5,1,0,92709,2082,90627,89479,79228,9190,323,675,23,40,1148,1110,33,5,0,0,72727,72065,63737,6880,265,576,26,581,662,627,29,5,1,0,72727,1262,71465,70880,63181,6843,255,566,18,17,585,553,27,5,0,0,43791,38680,5111
01,079,050,0500000US01079,00,Lawrence County,01,079,,,,,,,,,,34339,32861,26647,3938,1953,42,6,275,1478,1428,43,3,4,0,34339,574,33765,32336,26420,3917,1928,41,5,25,1429,1389,40,0,0,0,26375,25442,20866,3059,1337,34,6,140,933,916,13,2,2,0,26375,307,26068,25148,20737,3043,1328,33,5,2,920,907,13,0,0,0,15229,13654,1575
01,081,050,0500000US01081,00,Lee County,01,081,,,,,,,,,,140247,137988,100006,31901,445,3658,105,1873,2259,2121,126,11,1,0,140247,4571,135676,133816,97900,31674,397,3615,66,164,1860,1764,85,10,1,0,108656,107395,79707,23150,318,2841,82,1297,1261,1178,74,8,1,0,108656,3182,105474,104440,78205,23004,291,2811,53,76,1034,972,54,7,1,0,62391,55682,6709
01,083,050,0500000US01083,00,Limestone County,01,083,,,,,,,,,,82782,81314,66506,10429,547,924,42,2866,1468,1401,63,4,0,0,82782,4591,78191,76969,65112,10350,487,911,26,83,1222,1166,52,4,0,0,62923,62165,51331,8059,406,628,24,1717,758,722,36,0,0,0,62923,2708,60215,59561,50505,8018,368,621,15,34,654,625,29,0,0,0,34977,31446,3531
01,085,050,0500000US01085,00,Lowndes County,01,085,,,,,,,,,,11299,11239,2859,8310,25,14,0,31,60,51,9,0,0,0,11299,87,11212,11167,2841,8283,25,14,0,4,45,42,3,0,0,0,8567,8529,2339,6144,18,12,0,16,38,31,7,0,0,0,8567,55,8512,8483,2329,6124,18,12,0,0,29,26,3,0,0,0,5140,4352,788
01,087,050,0500000US01087,00,Macon County,01,087,,,,,,,,,,21452,21224,3319,17729,29,76,2,69,228,181,42,5,0,0,21452,232,21220,21016,3267,17631,28,76,2,12,204,166,35,3,0,0,17032,16877,2747,13985,28,65,2,50,155,120,30,5,0,0,17032,185,16847,16710,2702,13909,27,65,2,5,137,111,23,3,0,0,10259,8499,1760
01,089,050,0500000US01089,00,Madison County,01,089,,,,,,,,,,334811,326556,228280,80376,2551,8265,365,6719,8255,7580,626,46,3,0,334811,15404,319407,312256,221445,79517,2335,8167,321,471,7151,6604,513,32,2,0,255321,250918,178536,59463,1875,6308,255,4481,4403,4039,338,23,3,0,255321,10176,245145,241274,173916,58910,1747,6250,218,233,3871,3569,283,17,2,0,146447,134700,11747
01,091,050,0500000US01091,00,Marengo County,01,091,,,,,,,,,,21027,20863,9751,10872,34,53,13,140,164,156,7,1,0,0,21027,352,20675,20539,9607,10838,31,53,9,1,136,132,3,1,0,0,15836,15751,7666,7924,21,42,8,90,85,79,5,1,0,0,15836,237,15599,15530,7567,7896,20,42,4,1,69,66,2,1,0,0,10237,8535,1702
01,093,050,0500000US01093,00,Marion County,01,093,,,,,,,,,,30776,30435,28791,1184,101,54,14,291,341,331,10,0,0,0,30776,632,30144,29865,28509,1178,94,53,7,24,279,270,9,0,0,0,24111,23920,22661,944,83,49,8,175,191,183,8,0,0,0,24111,360,23751,23582,22501,940,79,48,3,11,169,162,7,0,0,0,14737,12651,2086
01,095,050,0500000US01095,00,Marshall County,01,095,,,,,,,,,,93019,91455,81464,1494,706,478,103,7210,1564,1515,30,10,8,1,93019,11238,81781,80620,78060,1389,570,475,63,63,1161,1141,18,1,1,0,69760,68946,62609,1089,542,362,57,4287,814,781,18,9,5,1,69760,6592,63168,62542,60641,1020,457,359,39,26,626,613,11,1,1,0,40342,35810,4532
